Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,50.206249,-94.307,180.0,top
C2,100n,C_0805_2012Metric,43.993749,-95.933249,180.0,top
C3,100n,C_0402_1005Metric,57.974277,-146.1395,180.0,top
C4,100n,C_0402_1005Metric,66.524249,-156.089499,-135.0,top
C5,100n,C_0402_1005Metric,64.524249,-153.289499,180.0,top
C6,1u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,88.7,-166.144499,90.0,top
C7,100n,C_0402_1005Metric,67.124249,-143.769499,-90.0,top
C8,100n,C_0805_2012Metric,44.768749,-148.558874,0.0,top
C9,10u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,53.524249,-140.089499,0.0,top
C10,1u,C_0402_1005Metric,77.124249,-157.789499,-90.0,top
C11,10n,C_0402_1005Metric,75.724249,-157.789499,-90.0,top
C12,1u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,94.7,-94.0,270.0,top
C13,1u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,63.518749,-92.894499,270.0,top
C14,10u,C_0805_2012Metric,46.568749,-153.758874,0.0,top
C15,16p,C_0402_1005Metric,74.124249,-157.819499,-90.0,top
C16,16p,C_0402_1005Metric,67.924249,-159.339499,-90.0,top
C17,100n,C_0402_1005Metric,77.124249,-144.889499,180.0,top
C18,4.7u,C_0402_1005Metric,77.974277,-146.9395,180.0,top
C19,100n,C_0805_2012Metric,43.918749,-99.694499,90.0,top
C20,100n,C_0805_2012Metric,62.918749,-99.694499,90.0,top
C21,100n,C_0805_2012Metric,78.318749,-98.094499,90.0,top
C22,100n,C_0805_2012Metric,104.0,-98.4,90.0,top
C23,100n,C_0805_2012Metric,127.6,-101.8,0.0,top
C24,100n,C_0805_2012Metric,144.8,-101.6,0.0,top
C25,100n,C_0805_2012Metric,163.4,-101.8,0.0,top
C26,100n,C_0805_2012Metric,182.45,-101.8,0.0,top
C27,100n,C_0805_2012Metric,201.5,-101.8,0.0,top
C28,100n,C_0805_2012Metric,220.55,-101.8,0.0,top
C29,100n,C_0805_2012Metric,239.6,-101.8,0.0,top
C30,100n,C_0805_2012Metric,258.65,-101.8,0.0,top
C31,100n,C_0805_2012Metric,277.7,-101.8,0.0,top
C32,100n,C_0805_2012Metric,296.75,-101.8,0.0,top
C33,100n,C_0805_2012Metric,315.8,-101.8,0.0,top
C34,100n,C_0805_2012Metric,334.85,-101.8,0.0,top
C35,100n,C_0805_2012Metric,353.9,-101.8,0.0,top
C36,100n,C_0805_2012Metric,350.9,-176.456999,-90.0,top
C37,100n,C_0805_2012Metric,334.25,-170.774251,-90.0,top
C38,100n,C_0805_2012Metric,314.05,-170.774251,-90.0,top
C39,100n,C_0805_2012Metric,297.05,-168.371875,-90.0,top
C40,100n,C_0805_2012Metric,276.45,-168.694499,-90.0,top
C41,100n,C_0805_2012Metric,256.209375,-168.694499,-90.0,top
C42,100n,C_0805_2012Metric,238.35,-168.694499,-90.0,top
C43,100n,C_0805_2012Metric,219.3,-168.694499,-90.0,top
C44,100n,C_0805_2012Metric,199.059375,-168.056999,-90.0,top
C45,100n,C_0805_2012Metric,180.009375,-168.694499,-90.0,top
C46,100n,C_0805_2012Metric,162.15,-168.694499,-90.0,top
C47,100n,C_0805_2012Metric,137.7,-173.978394,-90.0,top
C48,100n,C_0805_2012Metric,110.3,-175.944499,180.0,top
C49,100n,C_0805_2012Metric,88.3,-173.494019,-90.0,top
C50,100n,C_0805_2012Metric,64.520001,-176.144499,180.0,top
C51,100n,C_0805_2012Metric,49.8,-172.374251,-90.0,top
D1,SMF6.0A,D_SOD-123,85.906249,-166.094499,-90.0,top
D2,RB060M-60TR,D_SOD-123,66.518749,-92.894499,-90.0,top
D3,1N4148W,D_SOD-123,41.568749,-151.158874,180.0,top
D4,WS2812C-2020,LED_WS2812_2020,46.831249,-100.163249,0.0,top
D5,WS2812C-2020,LED_WS2812_2020,65.881249,-100.163249,0.0,top
D6,WS2812C-2020,LED_WS2812_2020,84.518749,-107.494499,90.0,top
D7,WS2812C-2020,LED_WS2812_2020,107.553124,-98.972624,0.0,top
D8,WS2812C-2020,LED_WS2812_2020,127.4,-99.0,0.0,top
D9,WS2812C-2020,LED_WS2812_2020,144.462499,-98.972624,0.0,top
D10,WS2812C-2020,LED_WS2812_2020,163.512499,-98.972624,0.0,top
D11,WS2812C-2020,LED_WS2812_2020,182.562499,-98.972624,0.0,top
D12,WS2812C-2020,LED_WS2812_2020,201.612499,-98.972624,0.0,top
D13,WS2812C-2020,LED_WS2812_2020,220.662499,-98.972624,0.0,top
D14,WS2812C-2020,LED_WS2812_2020,239.712499,-98.972624,0.0,top
D15,WS2812C-2020,LED_WS2812_2020,258.762499,-98.972624,0.0,top
D16,WS2812C-2020,LED_WS2812_2020,277.812499,-98.972624,0.0,top
D17,WS2812C-2020,LED_WS2812_2020,296.862499,-98.972624,0.0,top
D18,WS2812C-2020,LED_WS2812_2020,315.912499,-98.972624,0.0,top
D19,WS2812C-2020,LED_WS2812_2020,334.962499,-98.972624,0.0,top
D20,WS2812C-2020,LED_WS2812_2020,354.012499,-98.972624,0.0,top
D21,WS2812C-2020,LED_WS2812_2020_uparrow,358.768749,-168.028874,0.0,top
D22,WS2812C-2020,LED_WS2812_2020_uparrow,331.25,-171.171875,180.0,top
D23,WS2812C-2020,LED_WS2812_2020_uparrow,310.65,-171.171875,180.0,top
D24,WS2812C-2020,LED_WS2812_2020_uparrow,293.818749,-168.028874,180.0,top
D25,WS2812C-2020,LED_WS2812_2020_uparrow,273.578124,-169.219499,180.0,top
D26,WS2812C-2020,LED_WS2812_2020_uparrow,253.337499,-169.219499,180.0,top
D27,WS2812C-2020,LED_WS2812_2020_uparrow,235.478124,-169.219499,180.0,top
D28,WS2812C-2020,LED_WS2812_2020_uparrow,216.428124,-169.219499,180.0,top
D29,WS2812C-2020,LED_WS2812_2020_uparrow,196.187499,-168.028874,180.0,top
D30,WS2812C-2020,LED_WS2812_2020_uparrow,177.137499,-168.028874,180.0,top
D31,WS2812C-2020,LED_WS2812_2020,159.278124,-169.219499,180.0,top
D32,WS2812C-2020,LED_WS2812_2020,134.5,-172.791374,180.0,top
D33,WS2812C-2020,LED_WS2812_2020,109.934374,-172.791374,90.0,top
D34,WS2812C-2020,LED_WS2812_2020,85.1,-173.344499,180.0,top
D35,WS2812C-2020,LED_WS2812_2020,64.5,-172.791374,90.0,top
D36,WS2812C-2020,LED_WS2812_2020,46.581249,-172.791374,180.0,top
D37,1N4148W,D_SOD-123,356.393749,-83.494499,90.0,top
D38,1N4148W,D_SOD-123,351.631249,-83.494499,90.0,top
D39,1N4148W,D_SOD-123,334.962499,-87.066374,90.0,top
D40,1N4148W,D_SOD-123,315.912499,-87.066374,90.0,top
D41,1N4148W,D_SOD-123,296.862499,-87.066374,90.0,top
D42,1N4148W,D_SOD-123,277.812499,-87.066374,90.0,top
D43,1N4148W,D_SOD-123,251.618749,-83.494499,90.0,top
D44,1N4148W,D_SOD-123,232.568749,-83.494499,90.0,top
D45,1N4148W,D_SOD-123,213.518749,-83.494499,90.0,top
D46,1N4148W,D_SOD-123,193.278124,-83.494499,90.0,top
D47,1N4148W,D_SOD-123,171.846874,-83.494499,90.0,top
D48,1N4148W,D_SOD-123,149.815549,-87.066374,90.0,top
D49,1N4148W,D_SOD-123,130.841749,-88.256999,90.0,top
D50,1N4148W,D_SOD-123,108.743749,-83.494499,90.0,top
D51,1N4148W,D_SOD-123,67.071874,-83.494499,90.0,top
D52,1N4148W,D_SOD-123,64.690624,-83.494499,90.0,top
D53,1N4148W,D_SOD-123,46.831249,-83.494499,90.0,top
D54,1N4148W,D_SOD-123,357.584374,-107.306999,90.0,top
D55,1N4148W,D_SOD-123,355.203124,-107.306999,90.0,top
D56,1N4148W,D_SOD-123,337.184999,-107.306999,90.0,top
D57,1N4148W,D_SOD-123,318.293749,-107.306999,90.0,top
D58,1N4148W,D_SOD-123,299.243749,-107.306999,90.0,top
D59,1N4148W,D_SOD-123,280.193749,-107.306999,90.0,top
D60,1N4148W,D_SOD-123,261.143749,-107.306999,90.0,top
D61,1N4148W,D_SOD-123,242.093749,-107.306999,90.0,top
D62,1N4148W,D_SOD-123,223.043749,-107.306999,90.0,top
D63,1N4148W,D_SOD-123,203.993749,-107.306999,90.0,top
D64,1N4148W,D_SOD-123,184.943749,-107.306999,90.0,top
D65,1N4148W,D_SOD-123,165.893749,-107.306999,90.0,top
D66,1N4148W,D_SOD-123,146.843749,-107.306999,90.0,top
D67,1N4148W,D_SOD-123,128.984374,-107.306999,90.0,top
D68,1N4148W,D_SOD-123,103.981249,-112.069499,90.0,top
D69,1N4148W,D_SOD-123,64.690624,-107.306999,90.0,top
D70,1N4148W,D_SOD-123,46.831249,-107.306999,90.0,top
D71,1N4148W,D_SOD-123,351.631249,-126.356999,90.0,top
D72,1N4148W,D_SOD-123,346.868749,-126.356999,90.0,top
D73,1N4148W,D_SOD-123,327.818749,-126.356999,90.0,top
D74,1N4148W,D_SOD-123,308.768749,-126.356999,90.0,top
D75,1N4148W,D_SOD-123,289.718749,-126.356999,90.0,top
D76,1N4148W,D_SOD-123,270.668749,-126.356999,90.0,top
D77,1N4148W,D_SOD-123,251.618749,-126.356999,90.0,top
D78,1N4148W,D_SOD-123,232.568749,-126.356999,90.0,top
D79,1N4148W,D_SOD-123,213.518749,-126.356999,90.0,top
D80,1N4148W,D_SOD-123,194.468749,-126.356999,90.0,top
D81,1N4148W,D_SOD-123,175.418749,-126.356999,90.0,top
D82,1N4148W,D_SOD-123,156.368749,-126.356999,90.0,top
D83,1N4148W,D_SOD-123,137.318749,-126.356999,90.0,top
D84,1N4148W,D_SOD-123,118.268749,-125.166374,90.0,top
D85,1N4148W,D_SOD-123,67.071874,-107.306999,90.0,top
D86,1N4148W,D_SOD-123,64.690624,-126.356999,90.0,top
D87,1N4148W,D_SOD-123,46.831249,-126.356999,90.0,top
D88,1N4148W,D_SOD-123,348.059374,-145.406999,90.0,top
D89,1N4148W,D_SOD-123,343.296874,-145.406999,90.0,top
D90,1N4148W,D_SOD-123,323.056249,-145.406999,90.0,top
D91,1N4148W,D_SOD-123,304.006249,-145.406999,90.0,top
D92,1N4148W,D_SOD-123,284.956249,-145.406999,90.0,top
D93,1N4148W,D_SOD-123,265.906249,-145.406999,90.0,top
D94,1N4148W,D_SOD-123,246.856249,-145.406999,90.0,top
D95,1N4148W,D_SOD-123,227.806249,-145.406999,90.0,top
D96,1N4148W,D_SOD-123,208.756249,-145.406999,90.0,top
D97,1N4148W,D_SOD-123,189.706249,-145.406999,90.0,top
D98,1N4148W,D_SOD-123,170.656249,-145.406999,90.0,top
D99,1N4148W,D_SOD-123,151.606249,-145.406999,90.0,top
D100,1N4148W,D_SOD-123,131.365624,-145.406999,90.0,top
D101,1N4148W,D_SOD-123,133.746874,-145.406999,90.0,top
D102,1N4148W,D_SOD-123,67.071874,-126.356999,90.0,top
D103,1N4148W,D_SOD-123,331.318749,-163.266374,90.0,top
D104,1N4148W,D_SOD-123,333.918749,-163.266374,90.0,top
D105,1N4148W,D_SOD-123,314.721874,-163.266374,90.0,top
D106,1N4148W,D_SOD-123,312.340624,-163.266374,90.0,top
D107,1N4148W,D_SOD-123,294.481249,-163.266374,90.0,top
D108,1N4148W,D_SOD-123,275.431249,-163.266374,90.0,top
D109,1N4148W,D_SOD-123,256.381249,-163.266374,90.0,top
D110,1N4148W,D_SOD-123,237.331249,-163.266374,90.0,top
D111,1N4148W,D_SOD-123,218.281249,-163.266374,90.0,top
D112,1N4148W,D_SOD-123,199.231249,-163.266374,90.0,top
D113,1N4148W,D_SOD-123,180.181249,-163.266374,90.0,top
D114,1N4148W,D_SOD-123,161.131249,-163.266374,90.0,top
D115,1N4148W,D_SOD-123,138.509374,-163.266374,90.0,top
D116,1N4148W,D_SOD-123,92.074999,-158.503874,90.0,top
D117,1N4148W,D_SOD-123,64.8,-165.4,90.0,top
D118,1N4148W,D_SOD-123,351.631249,-182.316374,90.0,top
D119,1N4148W,D_SOD-123,348.718749,-182.316374,90.0,top
D120,1N4148W,D_SOD-123,326.628124,-183.506999,90.0,top
D121,1N4148W,D_SOD-123,256.381249,-183.506999,90.0,top
D122,1N4148W,D_SOD-123,182.562499,-183.506999,90.0,top
D123,1N4148W,D_SOD-123,161.131249,-183.506999,90.0,top
D124,1N4148W,D_SOD-123,137.318749,-183.506999,90.0,top
D125,1N4148W,D_SOD-123,113.506249,-183.506999,90.0,top
D126,1N4148W,D_SOD-123,84.931249,-183.506999,90.0,top
D127,1N4148W,D_SOD-123,65.881249,-183.506999,90.0,top
D128,1N4148W,D_SOD-123,46.831249,-179.935124,90.0,top
F1,mSMD110-16V,Fuse_1812_4532Metric,87.325172,-86.024728,90.0,top
FB1,CBW201209U121T,L_0805_2012Metric,90.968749,-87.358874,90.0,top
FB2,CBW201209U121T,L_0805_2012Metric,100.079999,-94.881999,0.0,top
J1,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN)_mounting-reliefs,81.129999,-167.681999,-90.0,top
J2,TYPE-C-31-M12,TYPE-C-31-M-12,87.313249,-75.47,0.0,bottom
J3,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN)_mounting-reliefs,87.312499,-102.544499,180.0,top
LED1,LED,LED_THT_2.54mm,99.218749,-88.574499,0.0,top
LED2,LED,LED_THT_2.54mm,75.406249,-88.574499,0.0,top
LED3,LED,LED_THT_2.54mm,37.306249,-88.574499,0.0,top
LED4,LED,LED_THT_2.54mm,365.918749,-88.574499,0.0,top
LED5,LED,LED_THT_2.54mm,342.106249,-88.574499,0.0,top
LED6,LED,LED_THT_2.54mm,327.818749,-88.574499,0.0,top
LED7,LED,LED_THT_2.54mm,323.056249,-88.574499,180.0,top
LED8,LED,LED_THT_2.54mm,308.768749,-88.574499,0.0,top
LED9,LED,LED_THT_2.54mm,304.006249,-88.574499,180.0,top
LED10,LED,LED_THT_2.54mm,289.718749,-88.574499,0.0,top
LED11,LED,LED_THT_2.54mm,284.956249,-88.574499,180.0,top
LED12,LED,LED_THT_2.54mm,261.143749,-88.574499,0.0,top
LED13,LED,LED_THT_2.54mm,270.668749,-88.574499,0.0,top
LED14,LED,LED_THT_2.54mm,242.093749,-88.574499,0.0,top
LED15,LED,LED_THT_2.54mm,223.043749,-88.574499,0.0,top
LED16,LED,LED_THT_2.54mm,203.993749,-88.574499,0.0,top
LED17,LED,LED_THT_2.54mm,184.943749,-88.574499,180.0,top
LED18,LED,LED_THT_2.54mm,181.371874,-88.574499,0.0,top
LED19,LED,LED_THT_2.54mm,162.321874,-88.574499,0.0,top
LED20,LED,LED_THT_2.54mm,156.368749,-88.574499,0.0,top
LED21,LED,LED_THT_2.54mm,143.271874,-88.574499,0.0,top
LED22,LED,LED_THT_2.54mm,137.318749,-88.574499,0.0,top
LED23,LED,LED_THT_2.54mm,124.221874,-88.574499,0.0,top
LED24,LED,LED_THT_2.54mm,118.268749,-88.574499,0.0,top
LED25,LED,LED_THT_2.54mm,56.356249,-88.574499,0.0,top
LED26,LED,LED_THT_2.54mm,75.406249,-112.386999,0.0,top
LED27,LED,LED_THT_2.54mm,56.356249,-112.386999,0.0,top
LED28,LED,LED_THT_2.54mm,37.306249,-112.386999,0.0,top
LED29,LED,LED_THT_2.54mm,365.918749,-112.386999,0.0,top
LED30,LED,LED_THT_2.54mm,346.868749,-112.386999,0.0,top
LED31,LED,LED_THT_2.54mm,327.818749,-112.386999,0.0,top
LED32,LED,LED_THT_2.54mm,308.768749,-112.386999,0.0,top
LED33,LED,LED_THT_2.54mm,289.718749,-112.386999,0.0,top
LED34,LED,LED_THT_2.54mm,270.668749,-112.386999,0.0,top
LED35,LED,LED_THT_2.54mm,251.618749,-112.386999,0.0,top
LED36,LED,LED_THT_2.54mm,232.568749,-112.386999,0.0,top
LED37,LED,LED_THT_2.54mm,213.518749,-112.386999,0.0,top
LED38,LED,LED_THT_2.54mm,194.468749,-112.386999,0.0,top
LED39,LED,LED_THT_2.54mm,175.418749,-112.386999,0.0,top
LED40,LED,LED_THT_2.54mm,156.368749,-112.386999,0.0,top
LED41,LED,LED_THT_2.54mm,137.318749,-112.386999,0.0,top
LED42,LED,LED_THT_2.54mm,118.268749,-112.386999,0.0,top
LED43,LED,LED_THT_2.54mm,108.743749,-112.386999,0.0,top
LED44,LED,LED_THT_2.54mm,99.218749,-112.386999,0.0,top
LED45,LED,LED_THT_2.54mm,103.981249,-131.436999,0.0,top
LED46,LED,LED_THT_2.54mm,75.406249,-131.436999,0.0,top
LED47,LED,LED_THT_2.54mm,56.356249,-131.436999,0.0,top
LED48,LED,LED_THT_2.54mm,37.306249,-131.436999,0.0,top
LED49,LED,LED_THT_2.54mm,361.156249,-131.436999,0.0,top
LED50,LED,LED_THT_2.54mm,337.343749,-131.436999,0.0,top
LED51,LED,LED_THT_2.54mm,318.293749,-131.436999,0.0,top
LED52,LED,LED_THT_2.54mm,299.243749,-131.436999,0.0,top
LED53,LED,LED_THT_2.54mm,280.193749,-131.436999,0.0,top
LED54,LED,LED_THT_2.54mm,261.143749,-131.436999,0.0,top
LED55,LED,LED_THT_2.54mm,242.093749,-131.436999,0.0,top
LED56,LED,LED_THT_2.54mm,223.043749,-131.436999,0.0,top
LED57,LED,LED_THT_2.54mm,203.993749,-131.436999,0.0,top
LED58,LED,LED_THT_2.54mm,184.943749,-131.436999,0.0,top
LED59,LED,LED_THT_2.54mm,165.893749,-131.436999,0.0,top
LED60,LED,LED_THT_2.54mm,146.843749,-131.436999,0.0,top
LED61,LED,LED_THT_2.54mm,127.793749,-131.436999,0.0,top
LED62,LED,LED_THT_2.54mm,106.679999,-135.881999,90.0,top
LED63,LED,LED_THT_2.54mm,275.431249,-150.486999,0.0,top
LED64,LED,LED_THT_2.54mm,199.231249,-150.486999,0.0,top
LED65,LED,LED_THT_2.54mm,180.181249,-150.486999,0.0,top
LED66,LED,LED_THT_2.54mm,161.131249,-150.486999,0.0,top
LED67,LED,LED_THT_2.54mm,111.124999,-150.486999,0.0,top
LED68,LED,LED_THT_2.54mm,358.774999,-150.486999,180.0,top
LED69,LED,LED_THT_2.54mm,363.537499,-150.486999,0.0,top
LED70,LED,LED_THT_2.54mm,332.581249,-150.486999,0.0,top
LED71,LED,LED_THT_2.54mm,313.531249,-150.486999,0.0,top
LED72,LED,LED_THT_2.54mm,294.481249,-150.486999,0.0,top
LED73,LED,LED_THT_2.54mm,256.381249,-150.486999,0.0,top
LED74,LED,LED_THT_2.54mm,237.331249,-150.486999,0.0,top
LED75,LED,LED_THT_2.54mm,218.281249,-150.486999,0.0,top
